Session,SessionID,Round,ID,Decision (1=vol.),Number Volunteers,Earnings,Cumulative Earnings,Age,Gender,Race,Country,Marital Status,Employment Status,Student Status,Year in School,No Major,Arts Humanities,Business,Economics,Politics,Sociology,Social Science,Law,Medical,Science,Other,Number Siblings,Hosehold Size,Budget Responsibility,Income,Vote,Occupation,Other Id:
vd060705a,1,12,2,0,0,0.2,7.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID4
vd060705a,1,13,2,1,2,0.8,8,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID7
vd060705a,1,14,2,0,1,1,9,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID1
vd060705a,1,15,2,0,0,0.2,9.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID3
vd060705a,1,16,2,1,2,0.8,10,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID4
vd060705a,1,17,2,0,1,1,11,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID1
vd060705a,1,18,2,0,0,0.2,11.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID5
vd060705a,1,19,2,1,2,0.8,12,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID12
vd060705a,1,20,2,0,0,0.2,12.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID4
vd060705a,1,1,3,1,1,0.8,0.8,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID6
vd060705a,1,2,3,1,1,0.8,1.6,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID9
vd060705a,1,3,3,1,1,0.8,2.4,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID10
vd060705a,1,4,3,1,2,0.8,3.2,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID7
vd060705a,1,5,3,0,0,0.2,3.4,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID6
vd060705a,1,6,3,1,1,0.8,4.2,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID8
vd060705a,1,7,3,1,1,0.8,5,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID4
vd060705a,1,8,3,1,2,0.8,5.8,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID12
vd060705a,1,9,3,1,1,0.8,6.6,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID11
vd060705a,1,10,3,1,1,0.8,7.4,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID4
vd060705a,1,11,3,1,1,0.8,8.2,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID2
vd060705a,1,12,3,1,1,0.8,9,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID5
vd060705a,1,13,3,1,1,0.8,9.8,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID6
vd060705a,1,14,3,1,2,0.8,10.6,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID12
vd060705a,1,15,3,0,0,0.2,10.8,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID2
vd060705a,1,16,3,1,1,0.8,11.6,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID10
vd060705a,1,17,3,1,1,0.8,12.4,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID11
vd060705a,1,18,3,1,2,0.8,13.2,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID8
vd060705a,1,19,3,1,1,0.8,14,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID8
vd060705a,1,20,3,1,1,0.8,14.8,20,2,1,1,1,3,1,13,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,2,1,ID5
vd060705a,1,1,4,1,1,0.8,0.8,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID11
vd060705a,1,2,4,0,0,0.2,1,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID8
vd060705a,1,3,4,0,1,1,2,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID1
vd060705a,1,4,4,0,0,0.2,2.2,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID1
vd060705a,1,5,4,0,0,0.2,2.4,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID9
vd060705a,1,6,4,1,1,0.8,3.2,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID5
vd060705a,1,7,4,0,1,1,4.2,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID3
vd060705a,1,8,4,0,0,0.2,4.4,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID11
vd060705a,1,9,4,1,2,0.8,5.2,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID6
vd060705a,1,10,4,0,1,1,6.2,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID3
vd060705a,1,11,4,1,1,0.8,7,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID6
vd060705a,1,12,4,0,0,0.2,7.2,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID2
vd060705a,1,13,4,1,2,0.8,8,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID1
vd060705a,1,14,4,1,2,0.8,8.8,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID7
vd060705a,1,15,4,0,0,0.2,9,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID8
vd060705a,1,16,4,1,2,0.8,9.8,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID2
vd060705a,1,17,4,1,1,0.8,10.6,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID12
vd060705a,1,18,4,0,1,1,11.6,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID10
vd060705a,1,19,4,1,2,0.8,12.4,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID6
vd060705a,1,20,4,0,0,0.2,12.6,27,2,1,3,1,3,2,16,0,0,0,1,0,0,0,0,0,0,0,1,4,5,5,2,3,ID2
vd060705a,1,1,5,1,2,0.8,0.8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID9
vd060705a,1,2,5,0,0,0.2,1,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID10
vd060705a,1,3,5,0,1,1,2,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID7
vd060705a,1,4,5,1,1,0.8,2.8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID8
vd060705a,1,5,5,0,1,1,3.8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID12
vd060705a,1,6,5,0,1,1,4.8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID4
vd060705a,1,7,5,0,1,1,5.8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID7
vd060705a,1,8,5,0,1,1,6.8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID8
vd060705a,1,9,5,0,1,1,7.8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID9
vd060705a,1,10,5,0,0,0.2,8,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID10
vd060705a,1,11,5,0,1,1,9,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID12
vd060705a,1,12,5,0,1,1,10,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID3
vd060705a,1,13,5,0,1,1,11,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID8
vd060705a,1,14,5,0,1,1,12,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID6
vd060705a,1,15,5,0,0,0.2,12.2,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID10
vd060705a,1,16,5,0,1,1,13.2,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID12
vd060705a,1,17,5,0,0,0.2,13.4,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID9
vd060705a,1,18,5,0,0,0.2,13.6,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID2
vd060705a,1,19,5,1,1,0.8,14.4,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID10
vd060705a,1,20,5,0,1,1,15.4,19,1,1,3,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,1,ID3
vd060705a,1,1,6,0,1,1,1,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID3
vd060705a,1,2,6,0,1,1,2,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID1
vd060705a,1,3,6,1,2,0.8,2.8,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID12
vd060705a,1,4,6,0,1,1,3.8,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID10
vd060705a,1,5,6,0,0,0.2,4,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID3
vd060705a,1,6,6,0,1,1,5,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID1
vd060705a,1,7,6,1,1,0.8,5.8,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID2
vd060705a,1,8,6,0,0,0.2,6,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID9
vd060705a,1,9,6,1,2,0.8,6.8,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID4
vd060705a,1,10,6,1,1,0.8,7.6,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID11
vd060705a,1,11,6,0,1,1,8.6,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID4
vd060705a,1,12,6,1,1,0.8,9.4,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID9
vd060705a,1,13,6,0,1,1,10.4,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID3
vd060705a,1,14,6,1,1,0.8,11.2,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID5
vd060705a,1,15,6,1,2,0.8,12,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID7
vd060705a,1,16,6,1,1,0.8,12.8,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID11
vd060705a,1,17,6,0,1,1,13.8,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID8
vd060705a,1,18,6,1,1,0.8,14.6,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID11
vd060705a,1,19,6,1,2,0.8,15.4,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID4
vd060705a,1,20,6,1,2,0.8,16.2,22,1,4,1,1,3,1,16,0,0,0,0,0,0,0,0,0,1,0,4,4,4,16,1,1,ID7
vd060705a,1,1,7,1,2,0.8,0.8,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID12
vd060705a,1,2,7,1,2,0.8,1.6,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID2
vd060705a,1,3,7,1,1,0.8,2.4,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID5
vd060705a,1,4,7,1,2,0.8,3.2,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID3
vd060705a,1,5,7,1,2,0.8,4,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID1
vd060705a,1,6,7,1,2,0.8,4.8,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID12
vd060705a,1,7,7,1,1,0.8,5.6,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID5
vd060705a,1,8,7,1,2,0.8,6.4,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID1
vd060705a,1,9,7,1,2,0.8,7.2,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID2
vd060705a,1,10,7,1,1,0.8,8,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID8
vd060705a,1,11,7,0,0,0.2,8.2,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID8
vd060705a,1,12,7,1,1,0.8,9,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID11
vd060705a,1,13,7,1,2,0.8,9.8,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID2
vd060705a,1,14,7,1,2,0.8,10.6,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID4
vd060705a,1,15,7,1,2,0.8,11.4,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID6
vd060705a,1,16,7,1,2,0.8,12.2,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID1
vd060705a,1,17,7,1,1,0.8,13,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID10
vd060705a,1,18,7,1,2,0.8,13.8,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID1
vd060705a,1,19,7,1,1,0.8,14.6,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID1
vd060705a,1,20,7,1,2,0.8,15.4,24,2,6,1,1,1,2,16,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,1,4,ID6
vd060705a,1,1,8,0,0,0.2,0.2,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID2
vd060705a,1,2,8,0,0,0.2,0.4,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID4
vd060705a,1,3,8,1,2,0.8,1.2,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID11
vd060705a,1,4,8,0,1,1,2.2,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID5
vd060705a,1,5,8,1,1,0.8,3,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID10
vd060705a,1,6,8,0,1,1,4,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID3
vd060705a,1,7,8,0,1,1,5,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID10
vd060705a,1,8,8,1,1,0.8,5.8,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID5
vd060705a,1,9,8,1,2,0.8,6.6,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID1
vd060705a,1,10,8,0,1,1,7.6,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID7
vd060705a,1,11,8,0,0,0.2,7.8,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID7
vd060705a,1,12,8,0,1,1,8.8,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID1
vd060705a,1,13,8,1,1,0.8,9.6,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID5
vd060705a,1,14,8,0,0,0.2,9.8,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID9
vd060705a,1,15,8,0,0,0.2,10,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID4
vd060705a,1,16,8,1,1,0.8,10.8,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID9
vd060705a,1,17,8,1,1,0.8,11.6,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID6
vd060705a,1,18,8,1,2,0.8,12.4,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID3
vd060705a,1,19,8,0,1,1,13.4,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID3
vd060705a,1,20,8,0,0,0.2,13.6,19,1,1,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,1,4,4,14,1,1,ID11
vd060705a,1,1,9,1,2,0.8,0.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID5
vd060705a,1,2,9,0,1,1,1.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID3
vd060705a,1,3,9,1,2,0.8,2.6,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID2
vd060705a,1,4,9,0,0,0.2,2.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID2
vd060705a,1,5,9,0,0,0.2,3,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID4
vd060705a,1,6,9,1,1,0.8,3.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID2
vd060705a,1,7,9,0,1,1,4.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID1
vd060705a,1,8,9,0,0,0.2,5,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID6
vd060705a,1,9,9,1,1,0.8,5.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID5
vd060705a,1,10,9,1,1,0.8,6.6,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID12
vd060705a,1,11,9,0,0,0.2,6.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID10
vd060705a,1,12,9,0,1,1,7.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID6
vd060705a,1,13,9,0,1,1,8.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID12
vd060705a,1,14,9,0,0,0.2,9,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID8
vd060705a,1,15,9,1,1,0.8,9.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID1
vd060705a,1,16,9,0,1,1,10.8,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID8
vd060705a,1,17,9,0,0,0.2,11,21,1,1,3,1,2,1,16,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,2,4,ID5
